feature_set,feature,p_value,rank_biserial,abs_rank_biserial,mean_controls,mean_impaired,rank,selected
all_features,GGB13489,,,,0.028097249999999997,0.01873235294117647,197,True
all_features,GGB13493,,,,0.009476937500000001,0.0032534841628959277,198,True
all_features,GGB13532,,,,0.00054575,0.000810497737556561,199,True
all_features,GGB1355,,,,0.0022293125,0.0,200,True
all_features,GGB13727,,,,0.0009160625,0.0026257466063348417,201,True
all_features,GGB13743,,,,0.001667375,0.0,202,True
all_features,GGB1379,,,,0.0003843125,0.0,203,True
all_features,GGB1380,,,,0.0004593125,0.0014400452488687783,204,True
all_features,GGB13818,,,,0.00984975,0.0019157466063348416,205,True
all_features,GGB1385,,,,0.0029319375,0.0,206,True
all_features,GGB1387,,,,0.14186893750000001,0.00634579185520362,207,True
all_features,GGB14016,,,,0.0,0.006185927601809954,208,True
all_features,GGB1405,,,,0.00139475,0.0021432579185520365,209,True
all_features,GGB1418,,,,0.00047256250000000005,0.021736470588235295,210,True
all_features,GGB1420,,,,0.08379168749999999,0.021909276018099548,211,True
all_features,GGB1421,,,,0.001602,0.002673755656108597,212,True
all_features,GGB1425,,,,0.0,1.6199095022624435e-05,213,True
all_features,GGB1456,,,,2.9062499999999998e-05,0.00010900452488687783,214,True
all_features,GGB1458,,,,0.05855056249999999,0.022732986425339365,215,True
all_features,GGB1492,,,,0.0,0.000463393665158371,216,True
all_features,GGB1495,,,,0.184491125,0.14106610859728505,217,True
all_features,GGB1496,,,,0.0,0.0007452488687782805,218,True
all_features,GGB1497,,,,0.06483393750000001,0.01195972850678733,219,True
all_features,GGB1503,,,,0.0,0.0003276018099547512,220,True
all_features,GGB1505,,,,0.0,0.003620135746606335,221,True
all_features,GGB1511,,,,0.0051375625,0.0035358823529411765,222,True
all_features,GGB1515,,,,0.000104375,0.0,223,True
all_features,GGB1518,,,,0.0,0.00023262443438914026,224,True
all_features,GGB1523,,,,0.0,1.8371040723981903e-05,225,True
all_features,GGB1525,,,,0.0,0.0010460633484162896,226,True
all_features,GGB1527,,,,0.0,0.0008746606334841629,227,True
all_features,GGB1538,,,,0.22229475,0.027612126696832582,228,True
all_features,GGB1543,,,,0.0,0.0003820814479638009,229,True
all_features,GGB1545,,,,0.012583,0.0,230,True
all_features,GGB1549,,,,0.0,0.0038102714932126695,231,True
all_features,GGB1550,,,,0.030541687500000005,0.04096841628959277,232,True
all_features,GGB1551,,,,6.11875e-05,0.0012228506787330317,233,True
all_features,GGB1552,,,,0.0,0.0007491402714932126,234,True
all_features,GGB1559,,,,0.0,0.0001755656108597285,235,True
all_features,GGB1567,,,,0.033639437499999994,0.03328846153846154,236,True
all_features,GGB1568,,,,0.0,0.002277466063348416,237,True
all_features,GGB1582,,,,0.011066375,0.005588280542986425,238,True
all_features,GGB1615,,,,0.0,0.020370995475113122,239,True
all_features,GGB1617,,,,0.00210775,0.0003370135746606334,240,True
all_features,GGB1618,,,,0.0033873124999999997,0.004035701357466063,241,True
all_features,GGB1621,,,,0.0,0.0008122171945701357,242,True
all_features,GGB1627,,,,0.052174687500000004,0.3394437104072398,243,True
all_features,GGB1629,,,,0.0,0.00398289592760181,244,True
